case_file_id,dossier_type,document_state,file_name,file_path
013,inspection,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_013/inspection/Doc 9.JPG
013,licenses,done,Doc 10.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_013/licenses/Doc 10.JPG
013,licenses,done,Doc 11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_013/licenses/Doc 11.JPG
013,support,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_013/support/Doc 2.JPG
014,estate,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_014/estate/Doc 4.JPG
014,inspection,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_014/inspection/Doc 5.JPG
014,licenses,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_014/licenses/Doc 6.JPG
014,licenses,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_014/licenses/Doc 7.JPG
015,estate,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/estate/Doc 4.JPG
015,inspection,done,Doc 11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/inspection/Doc 11.JPG
015,inspection,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/inspection/Doc 3.JPG
015,licenses,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/licenses/Doc 1.JPG
015,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/licenses/Doc 2.JPG
015,licenses,done,Doc 22.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/licenses/Doc 22.JPG
015,licenses,done,Doc11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_015/licenses/Doc11.JPG
016,estate,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/estate/Doc 2.JPG
016,estate,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/estate/Doc 3.JPG
016,inspection,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/inspection/Doc 4.JPG
016,inspection,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/inspection/Doc 6.JPG
016,licenses,done,Doc 10.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/licenses/Doc 10.JPG
016,licenses,done,Doc 22.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/licenses/Doc 22.JPG
016,licenses,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/licenses/Doc 7.JPG
016,licenses,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/licenses/Doc 9.JPG
016,licenses,done,Doc11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/licenses/Doc11.JPG
016,support,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_016/support/Doc 5.JPG
017,inspection,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_017/inspection/Doc 5.JPG
017,licenses,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_017/licenses/Doc 1.JPG
017,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_017/licenses/Doc 2.JPG
017,licenses,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_017/licenses/Doc 6.JPG
017,support,done,Doc 13.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_017/support/Doc 13.JPG
018,inspection,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_018/inspection/Doc 4.JPG
018,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_018/licenses/Doc 2.JPG
018,licenses,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_018/licenses/Doc 3.JPG
018,licenses,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_018/licenses/Doc 5.JPG
018,support,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_018/support/Doc 8.JPG
019,inspection,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/inspection/Doc 4.JPG
019,inspection,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/inspection/Doc 5.JPG
019,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/licenses/Doc 2.JPG
019,licenses,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/licenses/Doc 3.JPG
019,licenses,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/licenses/Doc 5.JPG
019,support,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/support/Doc 8.JPG
019,support,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_019/support/Doc 9.JPG
020,estate,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_020/estate/Doc 8.JPG
020,inspection,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_020/inspection/Doc 6.JPG
020,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_020/licenses/Doc 2.JPG
020,licenses,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_020/licenses/Doc 3.JPG
020,licenses,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_020/licenses/Doc 4.JPG
021,estate,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_021/estate/Doc 7.JPG
021,inspection,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_021/inspection/Doc 3.JPG
021,licenses,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_021/licenses/Doc 1.JPG
021,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_021/licenses/Doc 2.JPG
021,support,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_021/support/Doc 8.JPG
022,estate,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/estate/Doc 1.JPG
022,inspection,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/inspection/Doc 4.JPG
022,inspection,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/inspection/Doc 7.JPG
022,licenses,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/licenses/Doc 2.JPG
022,licenses,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/licenses/Doc 3.JPG
022,licenses,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/licenses/Doc 5.JPG
022,licenses,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/licenses/Doc 6.JPG
022,support,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_022/support/Doc 1.JPG
023,estate,done,Doc 8.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/estate/Doc 8.JPG
023,estate,done,Doc 9.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/estate/Doc 9.JPG
023,inspection,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/inspection/Doc 5.JPG
023,licenses,done,Doc 3.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/licenses/Doc 3.JPG
023,licenses,done,Doc 4.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/licenses/Doc 4.JPG
023,support,done,Doc 1.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/support/Doc 1.JPG
023,support,done,Doc 11.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_023/support/Doc 11.JPG
024,estate,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_024/estate/Doc 5.JPG
024,inspection,done,Doc 25.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_024/inspection/Doc 25.JPG
024,licenses,done,Doc 18.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_024/licenses/Doc 18.JPG
024,licenses,done,Doc 19.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_024/licenses/Doc 19.JPG
024,support,done,Doc 13.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_024/support/Doc 13.JPG
024,support,done,Doc 2.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_024/support/Doc 2.JPG
025,estate,done,Doc 13.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_025/estate/Doc 13.JPG
025,inspection,done,Doc 5.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_025/inspection/Doc 5.JPG
025,licenses,done,Doc 10.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_025/licenses/Doc 10.JPG
025,licenses,done,Doc 6.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_025/licenses/Doc 6.JPG
025,licenses,done,Doc 7.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_025/licenses/Doc 7.JPG
025,support,done,Doc 12.JPG,C:/Users/acc/archive_project/project_root/data/wells/CaseFile_025/support/Doc 12.JPG
